Survey_number,Sex,School_code_2,Science_teacher_2,Library_me_2,OMSI_me_2,Zoo_me_2,Child_museum_me_2,Scouts_me_2,Program_me_2,National_parks_me_2,Team_sport_me_2,Own_sport_me_2,Summer_camp_me_2,Hike_outdoors_me_2,Garden_me_2,Experiments_me_2,Read_me_2,Internet_me_2,Computer_me_2,Communicate_me_2,TV_me_2,Build_me_2,Pets_me_2,Library_encourage,OMSI_encourage,Zoo_encourage,Childrens_encourage,Scouts_encourage,Other_after_encourage,National_park_encourage,Team_sport_encourage,Sport_encourage,Summer_camps_encourage,Hike_outdoors_encourage,Garden_encourage,Experiment_encourage,Read_encourage,Internet_encourage,Computer_games_encourage,Communicate_encourage,TV_encourage,Build_encourage,Pets_encourage,Stars_planets_2,Mix_materials_2,Weather_2,Human_body_2,Traits_2,Sudoku_2,Fish_hunt_2,Earthquakes_2,Measure_2,Diseases_2,Minecraft_2,Planets_space_2,Buildings_bridges_2,Eat_exercise_2,Engines_2,Rocks_minerals_2,Computers_cell_phones_2,Food_flowers_2,Maps_2,Invent_2,Community_green_2,Shapes_2,Puzzles_2,Earth_space_6,Human_bio_6,Tech_eng_6
6,1,Parkrose MS,2,3,1,1,1,1,5,1,1,2,1,1,2,1,2,2,4,1,2,1,1,2111,1111,1111,1111,1111,2111,1111,1111,1211,1111,1111,2111,1111,1211,1111,1112,1111,1112,1111,1111,5,4,4,4,3,2,3,4,3,4,3,5,4,3,4,4,3,3,3,4,4,3,2,0.875,0.583333333333332,0.666666666666668
11,1,Parkrose MS,1,5,2,2,2,1,3,1,2,4,1,5,2,3,4,4,5,4,3,3,1,1112,1211,1211,1121,1111,2111,1211,2111,1112,1111,1112,1111,2111,1112,1112,1112,1112,2111,1111,1111,4,4,3,4,4,1,3,5,2,4,5,5,4,4,3,2,3,3,3,4,4,3,3,0.8125,0.75,0.541666666666668
17,1,Parkrose MS,2,3,1,1,1,1,5,2,5,5,1,1,1,4,3,4,5,4,4,1,1,1121,1111,1111,1111,1111,2111,1111,2111,2111,1111,1111,2111,2111,2111,2111,2111,1121,1112,1111,1111,5,5,4,4,5,4,5,4,4,5,5,4,5,5,5,5,4,5,4,5,5,5,4,0.8125,0.916666666666667,0.916666666666667
20,0,Parkrose MS,1,1,2,2,1,1,2,2,1,1,1,3,3,1,2,2,5,5,2,2,3,1112,2111,2111,1111,1111,2111,2111,1111,1112,1111,2111,2111,1111,1112,1112,1121,1112,1111,1112,1112,3,4,2,2,1,1,5,1,1,1,5,1,2,2,2,NA,1,5,2,3,3,3,3,0.1875,0.166666666666668,0.25
22,0,Parkrose MS,2,2,2,1,1,1,2,1,2,5,1,2,1,1,3,2,4,4,3,3,1,2111,1211,1211,1111,1111,1121,1112,1121,1121,1111,1111,1111,1112,1112,1112,1112,1112,1112,1111,1111,5,5,5,4,5,1,1,5,4,5,3,5,5,4,4,4,4,2,2,3,5,3,3,1,0.833333333333333,0.666666666666668
24,1,Parkrose MS,2,3,1,1,1,1,2,1,2,5,1,1,2,2,5,3,3,1,1,1,1,2111,1112,1112,1112,1112,1121,1121,2111,2111,1121,1121,2111,1121,2111,1121,1121,1121,1112,1112,1111,5,5,5,5,5,4,5,5,4,5,4,5,4,5,5,5,5,5,4,4,4,4,4,1,1,0.875
27,1,Parkrose MS,2,4,1,1,1,1,1,1,1,3,1,4,2,1,4,2,1,4,3,1,1,1111,1211,1112,1211,1112,1112,1112,1112,1112,2111,2111,2111,1212,2111,1211,1111,1112,1111,1112,1112,5,4,3,3,4,1,3,5,1,3,3,5,3,3,3,5,3,3,3,3,4,3,4,0.875,0.583333333333332,0.583333333333332
30,0,Parkrose MS,2,3,2,3,2,1,4,4,4,5,3,4,2,2,4,2,3,4,3,4,5,2111,1112,1112,1211,1111,2211,2111,1211,1112,1121,2111,1111,1121,1112,2111,1112,1112,2221,2211,2111,5,5,4,4,5,4,4,4,4,5,5,5,4,4,5,5,3,3,3,4,4,5,5,0.875,0.833333333333333,0.75
34,1,Parkrose MS,2,3,1,1,1,1,2,3,5,4,1,5,3,2,5,3,5,5,3,1,1,1112,1121,1112,1112,1111,1112,1111,2111,1111,1111,1111,1112,1112,1121,1121,1211,1121,1121,1111,1111,5,5,4,2,5,4,4,5,4,5,2,5,2,5,2,2,5,2,4,4,4,5,2,0.9375,0.75,0.541666666666668
35,1,Parkrose MS,2,3,2,1,1,1,3,2,1,2,3,2,2,1,1,3,4,5,4,3,1,2222,2111,1111,1111,1111,1121,2111,1111,1111,2211,2111,2211,1111,1111,2211,1112,1112,2111,2221,1111,5,5,5,5,5,5,1,5,4,4,1,5,5,5,5,5,5,4,2,2,5,3,3,1,1,0.75
37,1,Parkrose MS,2,2,2,2,1,1,5,1,5,5,2,2,1,3,5,5,5,5,1,2,2,1211,1111,1111,1111,1111,1121,1112,2111,2111,1111,1111,1111,1111,1121,2111,2111,2111,1211,1111,1111,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
38,1,Parkrose MS,1,2,2,2,1,1,1,2,1,1,1,2,3,1,4,5,5,5,1,1,5,1111,2111,2111,1111,1111,1111,2111,1111,1111,1111,2111,2111,1111,1121,1121,1121,1112,1111,1111,2111,3,4,1,1,1,1,1,3,1,1,5,3,2,1,1,1,4,5,2,2,3,2,1,0.375,0,0.25
39,1,Parkrose MS,2,3,1,1,1,1,1,2,1,3,1,5,2,2,5,1,5,5,2,2,5,1112,1111,1111,1111,1111,1112,1111,1111,1112,1111,1111,2111,1111,1112,1111,1112,1121,1111,1112,2111,4,5,2,1,3,2,5,4,1,3,5,4,5,2,2,3,5,4,3,5,3,3,2,0.625,0.25,0.708333333333332
40,1,Parkrose MS,2,2,2,2,1,1,4,2,1,1,1,4,1,1,5,4,4,5,1,1,4,1122,1121,1112,1111,1111,2111,1112,1111,1111,1111,1112,1111,1111,1112,1112,1112,1112,1111,1111,1112,3,5,3,3,3,1,2,5,3,5,1,4,3,5,2,5,3,3,3,1,5,1,1,0.6875,0.666666666666668,0.458333333333332
41,1,Parkrose MS,1,4,3,2,2,1,4,2,5,5,5,5,4,2,5,4,5,5,4,5,2,2111,2111,2111,2111,1211,1121,1121,1221,1211,1121,1211,1121,1211,1121,1211,1221,1212,1211,1121,1211,4,5,4,5,5,2,1,4,5,4,5,4,5,5,1,NA,5,5,5,5,2,1,3,0.75,1,0.8
46,1,Parkrose MS,1,4,1,1,1,1,4,1,1,1,1,1,1,1,5,1,1,5,2,5,1,1112,1112,1112,1111,1111,1121,1111,1121,1112,1111,1112,1111,1111,1112,1112,1112,1121,1122,1112,1111,4,5,4,4,3,4,4,5,3,4,3,4,3,4,3,3,4,3,3,4,4,4,4,0.8125,0.666666666666668,0.583333333333332
51,0,Parkrose MS,2,2,1,1,1,5,5,3,5,2,2,3,1,1,4,2,4,1,3,1,3,2112,1112,1112,1112,2111,1112,1112,2111,1111,1112,2111,2111,1111,1112,1111,1112,1111,1111,1111,1111,3,3,2,3,2,1,5,2,2,1,4,4,2,4,2,3,3,2,3,3,3,2,1,0.4375,0.5,0.416666666666668
53,0,Parkrose MS,2,3,1,2,1,1,2,2,2,1,2,5,1,4,2,2,5,5,3,2,2,1112,1112,1112,1111,1111,1111,1121,1121,1112,1121,1122,1111,1112,1111,1111,1112,1112,1111,1112,1111,5,5,NA,3,5,3,3,3,3,4,1,5,3,3,4,3,4,2,1,3,2,1,2,0.833333333333333,0.666666666666668,0.5
54,0,Parkrose MS,1,2,1,1,1,1,1,1,4,5,1,5,1,2,5,5,5,5,5,1,1,1121,1121,1121,1121,1121,1121,1121,2111,2111,1121,1121,1112,1112,2111,1121,1121,1121,1121,1111,1111,5,5,4,4,4,5,5,5,4,5,5,5,3,5,5,5,5,4,3,4,5,5,5,0.9375,0.833333333333333,0.791666666666667
55,0,Parkrose MS,2,1,1,1,1,4,5,3,5,5,2,5,1,2,2,5,5,5,3,5,5,1112,1111,1111,1111,2111,1112,2111,2111,2111,2111,2111,1111,1111,1111,1112,1112,1112,1112,2111,2111,3,3,3,3,3,4,5,3,3,3,5,3,3,5,4,3,5,3,5,4,5,3,3,0.5,0.666666666666668,0.75
57,0,Parkrose MS,2,3,2,2,2,1,2,2,4,4,2,2,4,3,4,5,5,5,4,5,2,2111,1121,1112,1112,1112,1112,1112,1211,1211,1112,1112,1112,2111,1112,2111,1211,1121,1121,1112,1112,3,4,3,4,4,4,4,4,3,4,4,4,2,5,4,3,5,4,3,4,3,3,3,0.625,0.833333333333333,0.625
58,0,Parkrose MS,1,3,2,2,1,1,3,2,1,5,2,5,1,2,3,4,5,5,4,5,4,2111,1121,1121,1111,1111,2111,1121,1121,1111,2111,1112,1111,1112,2111,2111,1121,1121,1112,1112,1112,5,5,5,2,3,4,5,5,2,2,5,5,5,5,5,5,5,3,2,5,4,3,5,1,0.583333333333332,0.875
70,0,Parkrose MS,1,2,2,2,1,1,1,2,5,5,1,2,5,2,1,4,5,5,4,2,5,2111,2111,1111,1111,1111,1112,2111,2111,2111,1111,2111,2111,1112,1111,2111,1211,1112,2111,1211,2111,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
71,1,Parkrose MS,1,3,2,2,1,1,3,2,1,3,1,4,4,4,4,5,5,4,3,3,1,2111,1112,1112,1111,1111,2111,2111,1111,2111,1111,1112,2111,2111,2111,1112,1112,1112,1112,2111,1111,NA,5,5,5,5,5,1,5,4,4,2,5,5,4,3,3,5,4,3,3,2,3,4,1,0.916666666666667,0.666666666666668
72,1,Parkrose MS,2,2,2,2,1,1,3,2,5,5,1,4,4,2,4,4,5,5,2,3,5,1111,1211,1211,1111,1111,2111,2111,2111,2111,1111,1112,2111,1111,1112,1112,1112,1211,1111,1121,2111,5,5,5,5,5,3,3,5,2,5,5,5,3,5,3,5,5,5,3,5,3,5,2,1,1,0.75
78,1,Parkrose MS,2,1,1,2,1,1,1,2,1,5,1,2,1,1,3,2,5,5,2,2,4,2112,1112,2111,2111,1111,2111,2111,1121,1121,1111,2111,1111,1111,1112,1112,2121,1121,1112,1111,2111,4,4,2,3,3,4,5,2,3,1,4,2,3,2,1,1,2,2,3,3,4,3,3,0.375,0.416666666666668,0.291666666666668
81,1,Parkrose MS,2,2,1,2,1,1,4,2,5,5,1,5,5,5,5,5,5,5,5,1,5,2112,1111,1112,1111,1111,2111,2111,1112,1112,1111,1121,2111,2111,2111,2111,1112,1112,2111,1111,2111,4,5,2,5,5,5,5,5,3,5,5,4,5,5,5,5,5,5,5,5,4,5,5,0.6875,1,1
83,1,Parkrose MS,1,2,2,2,2,1,2,2,2,3,1,5,3,3,4,2,5,5,3,3,1,1112,1211,2211,1211,1211,2211,1211,1211,1112,1111,1211,1112,1112,1112,2211,1112,1112,1112,1112,1111,4,5,2,3,3,2,5,3,2,3,5,3,3,4,3,4,5,4,3,5,3,4,NA,0.5,0.583333333333332,0.708333333333332
85,0,Parkrose MS,2,3,1,2,1,1,1,2,1,3,2,2,2,4,2,1,1,1,3,3,1,1121,1111,1111,1111,1111,1111,2111,1111,1111,1112,2111,2111,1112,1111,1111,1111,1111,1111,2111,1111,5,5,3,2,3,4,4,3,4,2,1,4,5,2,4,2,3,1,3,5,2,5,5,0.6875,0.333333333333332,0.666666666666668
87,1,Parkrose MS,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1211,1112,1112,1112,2111,2111,1112,2111,1112,2111,2111,1112,1112,2111,1112,1121,1121,1112,1112,1112,4,5,3,5,5,3,2,3,2,5,1,3,2,4,2,1,3,3,3,3,4,4,5,0.5625,0.916666666666667,0.333333333333332
88,1,Parkrose MS,1,2,2,2,1,1,2,1,1,4,1,5,3,5,5,4,4,4,5,5,2,2112,2211,2211,1111,1111,1211,1111,2211,1112,1111,2211,2111,2211,2111,2111,1211,1121,2111,2111,1111,5,5,4,3,3,1,2,4,2,5,5,5,4,3,4,2,3,2,2,5,5,4,4,0.875,0.5,0.583333333333332
91,0,Parkrose MS,1,2,2,2,1,1,5,3,3,5,1,3,4,4,3,4,4,3,4,3,3,2111,1112,1112,1111,1111,1121,2111,1211,1211,1111,2111,2111,2111,2111,1112,1112,1112,1112,2111,1112,5,5,4,3,4,2,3,4,3,2,4,5,4,4,3,5,5,4,4,4,3,3,3,0.875,0.666666666666668,0.791666666666667
96,1,Parkrose MS,2,5,1,1,2,1,3,3,4,5,1,5,5,4,5,4,2,5,3,5,5,2111,1121,1211,1211,1111,1121,1121,1112,1211,1111,2111,1121,2111,2111,2111,1121,1121,2111,1211,1112,5,5,5,3,3,5,4,5,5,5,5,5,3,5,2,3,5,3,2,5,5,5,5,1,0.666666666666668,0.583333333333332
97,1,Parkrose MS,1,2,2,2,2,1,1,2,4,3,1,2,4,3,5,3,5,5,4,4,5,2112,1112,1112,2111,1111,1121,2111,1112,1112,1121,1211,1112,1112,1112,1112,1112,1112,1211,1112,1112,4,5,4,4,4,4,4,5,4,4,5,4,4,4,2,5,5,4,4,4,4,4,4,0.8125,0.75,0.75
100,0,Parkrose MS,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,3,1,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1112,1211,1112,1111,1112,1111,5,3,2,3,3,3,2,4,3,3,5,5,4,4,2,4,5,3,4,4,4,3,2,0.75,0.583333333333332,0.708333333333332
103,1,Parkrose MS,2,2,2,1,1,1,3,2,4,5,3,3,2,1,5,5,5,5,1,1,5,2111,1121,1211,1111,1111,1121,1121,2111,2111,1121,1121,2111,1111,1121,1121,1121,1121,2111,1111,2111,4,4,3,1,2,2,3,4,4,5,3,4,4,3,2,1,5,5,4,5,5,5,5,0.6875,0.25,0.625
107,1,Parkrose MS,1,2,2,1,2,5,5,2,5,1,2,2,5,4,5,5,5,5,1,5,5,2111,1121,1111,1121,2111,1121,2111,2111,1111,1111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,5,5,4,5,5,4,5,5,4,3,5,5,5,5,4,NA,1,1,5,5,5,3,3,0.9375,1,0.75
114,1,Parkrose MS,2,3,2,2,1,1,5,2,5,3,2,5,2,1,4,2,3,3,3,1,5,1111,2111,2111,2111,1111,2221,2111,2221,2111,2121,2211,1111,1111,2111,1111,1112,1121,1111,1111,2211,4,5,3,3,5,5,5,5,3,4,4,5,5,4,4,4,5,5,5,5,4,5,5,0.8125,0.75,0.916666666666667
117,1,Parkrose MS,2,1,3,3,1,4,4,2,2,1,2,3,1,4,5,5,5,4,4,2,5,1112,2211,2211,1111,1112,1112,2111,2111,1111,1112,2111,1111,1112,1112,1112,1112,1112,1112,2111,1112,5,3,2,1,4,3,1,2,2,1,5,4,3,3,1,4,4,3,2,5,4,3,2,0.5625,0.416666666666668,0.541666666666668
120,0,Parkrose MS,1,4,1,1,1,1,5,2,5,3,1,2,2,2,5,4,4,4,4,3,1,1112,1111,1111,1111,1111,1121,2111,1112,1121,1111,2111,2111,1211,1112,1112,1121,1121,1112,1112,1111,5,4,3,3,3,3,5,5,3,5,5,NA,5,5,4,3,5,3,4,4,5,3,3,0.833333333333333,0.666666666666668,0.791666666666667
122,0,Parkrose MS,1,2,2,3,1,4,1,2,2,1,2,5,2,2,4,3,3,2,2,4,5,1111,2111,2111,1111,1111,1112,1111,1121,1111,1111,2111,1111,1112,2111,2111,1112,1112,2111,1112,1112,4,5,3,3,3,4,5,5,3,3,5,3,3,5,3,4,5,3,5,5,4,3,3,0.6875,0.666666666666668,0.791666666666667
124,0,Parkrose MS,2,3,1,2,2,1,4,1,5,5,1,4,1,4,4,5,4,3,4,2,2,2111,1121,2111,1121,1111,1111,1112,2111,1112,1111,1121,1111,1121,2111,2111,1121,1121,1112,1111,1111,4,3,5,5,3,5,4,4,5,2,5,4,3,5,1,1,4,1,4,5,3,4,5,0.8125,0.833333333333333,0.5
126,1,Parkrose MS,2,3,2,1,1,1,1,1,4,1,2,3,3,1,3,3,2,2,1,2,2,1111,2111,2111,1111,1111,1111,1111,1211,1211,1111,1111,1112,1111,1111,1111,1112,1112,1112,1111,1112,4,5,4,5,5,4,3,5,5,5,3,5,5,5,5,4,3,4,5,4,5,5,4,0.875,1,0.833333333333333
128,1,Parkrose MS,1,3,2,2,2,1,5,1,1,4,2,1,2,5,5,2,4,5,5,2,1,2111,2211,2211,2211,1111,2111,1111,1111,2211,2111,1111,2111,2211,2111,1111,2111,1121,2211,1111,1111,5,5,5,5,5,5,2,5,5,4,2,5,5,5,4,5,5,5,5,4,4,4,4,1,1,0.916666666666667
134,0,Parkrose MS,1,4,1,1,1,1,2,2,2,2,1,3,1,2,4,3,5,5,4,2,1,1112,1111,1111,1111,1111,1121,1111,1121,1112,1111,2111,1111,1112,2111,1112,1112,1112,1112,1112,1111,5,5,3,3,5,5,3,3,3,4,5,5,3,5,3,2,5,3,2,5,5,2,2,0.75,0.833333333333333,0.583333333333332
135,1,Parkrose MS,1,3,1,1,1,1,4,1,1,5,1,4,1,4,4,4,5,3,5,5,1,1111,1111,1111,1111,1111,1112,1111,1111,1112,1111,1112,1111,1112,1112,1112,1112,1112,1112,1112,1111,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
139,1,Parkrose MS,2,3,3,2,2,1,3,2,2,4,4,4,2,2,4,3,4,5,3,1,4,2111,2111,1121,1112,1111,2111,2111,1121,2211,1211,2211,1112,1111,1112,1112,1112,2111,2111,1112,2111,3,5,2,1,1,1,5,5,3,4,2,3,2,4,3,3,3,4,3,4,4,3,4,0.5625,0.25,0.5
142,0,Parkrose MS,1,2,2,1,1,1,1,2,1,4,1,4,2,1,3,5,5,4,2,3,5,2111,1112,2111,1111,1111,1111,1111,1111,1112,1111,1112,1112,1111,2111,1112,1112,1112,1112,1112,1112,3,4,3,3,3,2,5,2,2,2,4,2,2,3,2,2,2,5,2,5,5,3,2,0.375,0.5,0.375
145,0,Parkrose MS,2,3,2,2,2,1,1,2,2,4,2,5,5,1,4,1,1,1,1,2,5,2111,1121,1121,1121,1111,2111,1121,2112,1112,2111,1112,2111,1112,1112,1111,1112,1111,1111,1112,2111,4,5,4,4,4,1,5,4,2,3,5,5,3,4,5,4,5,4,4,4,5,5,3,0.8125,0.75,0.791666666666667
146,0,Parkrose MS,1,2,2,1,1,1,3,2,1,4,1,5,4,3,3,2,3,3,4,1,4,1112,1112,1112,1112,1111,2111,2111,2111,1112,1111,2111,2111,1112,2111,1112,1112,1112,2111,1111,2111,5,4,3,3,3,3,5,3,3,3,5,5,4,3,3,5,3,5,3,4,5,3,3,0.75,0.5,0.666666666666668
149,0,Parkrose MS,1,3,2,2,1,1,1,1,5,4,1,4,3,2,3,2,4,4,2,3,4,1112,1112,1112,1111,1111,1111,1111,2111,2111,1111,1112,2111,1111,1112,1111,1112,1112,1111,1112,1112,4,5,3,3,3,3,4,3,3,3,5,3,4,3,3,3,3,3,3,4,4,3,3,0.5625,0.5,0.583333333333332
150,0,Parkrose MS,1,4,2,2,2,1,3,3,5,5,1,5,2,2,5,3,5,5,4,1,5,2111,2211,2111,2111,1111,2111,2111,2111,2111,1111,2111,2111,2111,2111,2111,1211,1211,2111,1111,2111,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,2,1,1,0.958333333333333
154,0,Parkrose MS,1,3,2,1,2,4,1,2,1,4,1,5,3,3,5,3,5,2,4,2,5,2111,1112,1111,2111,2111,1111,2111,1111,1112,1111,2111,2111,1112,1112,1112,1112,1112,1112,1121,1111,3,4,3,3,4,2,3,3,1,2,1,4,3,2,2,3,2,3,3,4,4,3,3,0.5625,0.5,0.458333333333332
155,1,Parkrose MS,2,3,2,2,1,1,5,3,5,5,2,5,4,3,3,3,2,4,3,2,3,1112,2111,2111,2111,1111,1112,1112,1112,1112,2111,1112,2111,1121,1112,1111,1111,1112,1112,1211,2111,3,5,5,5,4,3,2,5,5,5,1,2,1,5,3,4,5,5,5,3,5,4,5,0.6875,0.916666666666667,0.625
157,1,Parkrose MS,2,1,2,3,1,1,1,2,1,5,2,3,4,1,4,1,5,5,1,1,5,1112,1121,2111,1111,1111,1111,2111,2111,1112,1111,2111,2111,1111,1112,1111,1112,1121,1111,1111,1112,4,3,3,3,4,1,5,5,2,1,5,3,1,5,1,3,3,5,1,4,4,1,3,0.6875,0.75,0.291666666666668
158,0,Parkrose MS,1,2,2,2,1,1,2,1,5,4,1,4,2,1,4,1,5,4,1,2,5,2112,1112,2111,1111,1111,1111,1111,1112,1211,1111,1211,1111,1111,1112,1112,1112,1112,1111,1112,1112,1,3,1,1,1,1,5,4,1,1,5,1,1,1,1,1,5,1,3,5,3,3,1,0.1875,0,0.416666666666668
160,1,Parkrose MS,1,4,1,1,1,4,1,3,1,1,1,5,1,1,5,3,1,2,5,5,5,1112,1111,1111,1111,2111,1111,1121,1111,1111,1111,1112,1111,1112,1112,2111,1111,1121,1112,1112,2111,3,3,3,4,4,3,3,3,3,4,3,4,3,5,3,3,3,3,3,3,3,3,3,0.5625,0.833333333333333,0.5
161,1,Parkrose MS,1,2,1,2,1,5,5,1,5,1,1,5,1,1,1,4,1,5,1,1,2,1112,1111,1111,1111,1121,1121,1111,1121,1111,1121,1121,1111,1111,1111,1112,1112,1112,1111,1111,1111,5,3,1,3,1,1,1,3,1,5,4,5,1,1,1,3,1,1,3,1,5,3,1,0.625,0.166666666666668,0.166666666666668
162,1,Parkrose MS,1,4,2,2,3,1,2,2,1,1,2,5,5,1,5,5,5,5,1,2,5,2112,2111,2111,2111,2111,2111,2111,2111,1112,2111,2111,2111,1111,2111,1221,1221,1121,1112,1112,2111,5,4,4,5,4,5,5,5,1,5,5,5,5,5,1,5,4,5,1,5,5,5,5,0.9375,0.916666666666667,0.625
163,0,Parkrose MS,2,3,1,2,1,1,4,1,4,2,1,5,2,2,1,2,1,5,1,1,1,2211,1111,1211,1112,1111,2111,1111,2111,1111,1112,1121,1211,1211,1111,1112,1121,1121,1111,1112,1121,4,5,1,4,3,4,5,4,2,5,5,5,3,2,3,1,2,1,3,5,2,4,3,0.625,0.5,0.458333333333332
171,0,Parkrose MS,2,2,1,1,1,1,4,2,5,1,1,5,2,5,5,2,4,1,3,2,3,1112,1111,1111,1111,1111,2221,2211,2221,1111,1111,2111,1111,1112,2111,1111,1112,1111,1112,1111,1112,3,3,3,5,3,5,3,3,4,3,5,4,3,5,3,3,4,3,5,3,4,4,5,0.5625,0.833333333333333,0.625
172,1,Parkrose MS,1,5,1,1,1,1,1,1,1,2,1,1,1,4,5,5,5,5,5,5,5,1112,1111,1111,1111,1111,1111,1111,1111,1112,1111,1111,1111,1112,1112,1112,1112,1112,1112,1112,1112,5,5,1,1,5,1,1,1,1,5,5,5,3,1,3,5,5,3,5,5,3,5,5,0.5,0.333333333333332,0.833333333333333
173,1,Parkrose MS,1,1,2,2,1,4,5,2,5,5,2,1,1,3,1,1,3,4,4,1,1,1111,1111,1111,1111,2111,1121,1112,2121,1112,1111,1111,1111,1112,1111,1111,1111,1112,1112,1111,1111,4,5,3,4,4,3,4,5,2,3,5,4,2,4,1,3,2,2,3,3,3,4,5,0.75,0.75,0.333333333333332
174,0,Parkrose MS,2,5,3,2,1,1,5,1,5,5,1,3,4,3,5,5,4,5,5,1,5,1121,2111,2211,1111,1111,1121,1111,2221,2221,1111,2111,2111,2111,2211,1211,1121,1211,2111,1111,2221,NA,5,1,1,5,3,4,5,2,5,5,5,3,5,3,5,5,5,NA,5,5,1,5,0.666666666666668,0.666666666666668,0.8
176,0,Parkrose MS,1,3,1,1,1,1,5,2,4,5,2,3,2,1,4,4,5,4,2,3,5,2111,1111,1121,1211,1111,2111,2111,2111,2111,2111,2111,2111,1112,1112,2111,1121,1121,1111,1121,2111,5,5,4,4,4,3,5,5,3,4,5,5,4,4,4,4,5,4,4,5,4,4,4,0.9375,0.75,0.833333333333333
178,0,Parkrose MS,1,4,3,1,2,1,1,2,4,4,1,2,1,2,1,5,4,4,4,5,5,2111,2111,1111,1121,1111,1111,1111,2221,2111,1111,1112,1111,1112,1112,1112,1121,1121,2111,2211,2111,5,5,3,5,5,4,3,5,3,5,5,5,5,5,3,1,3,2,2,5,5,2,NA,0.875,1,0.541666666666668
182,1,Parkrose MS,1,1,2,1,1,3,4,2,5,5,2,4,4,3,5,5,5,5,3,1,5,2111,1111,1111,1111,2111,2111,2111,2121,1211,1121,1211,2111,1121,2111,1121,1121,1121,1112,1112,2221,5,5,4,5,5,3,5,1,1,5,5,5,1,5,3,4,4,5,5,5,5,3,5,0.6875,1,0.666666666666668
201,1,Parkrose MS,1,2,2,2,1,1,2,2,1,2,1,3,3,3,4,4,5,1,1,1,4,2111,2111,2111,1111,1111,2111,2111,1111,1111,2111,2111,2111,1111,1112,1111,1112,1111,1111,1111,1112,3,4,3,3,3,1,5,4,3,3,5,4,3,3,3,3,4,4,2,3,5,4,2,0.625,0.5,0.5
202,0,Parkrose MS,1,1,2,1,1,1,1,2,1,1,2,5,1,4,5,4,4,1,3,4,5,2111,2111,2111,1111,1111,1111,2111,1112,1112,2111,2112,1111,1112,1112,1112,2111,1112,1112,1112,2112,5,5,1,5,5,4,5,3,1,5,5,5,1,1,1,1,5,1,2,5,4,5,1,0.625,0.666666666666668,0.375
204,0,Parkrose MS,1,3,1,1,1,1,1,2,1,4,1,3,1,2,5,4,5,1,3,5,5,2111,1111,2111,1111,1111,1111,2111,1111,1112,1111,2111,1111,1112,1112,1112,1112,1111,1112,1112,2111,5,5,5,5,5,4,1,4,4,5,5,5,5,3,5,5,5,4,4,5,4,5,5,0.9375,0.833333333333333,0.958333333333333
206,1,Parkrose MS,1,5,1,1,1,1,2,2,1,5,1,5,5,4,5,5,5,5,3,2,5,1111,1112,1112,1111,1111,1112,1112,1121,1111,1111,1112,1112,1111,1112,1112,1112,1112,1112,1112,1112,3,5,3,3,5,3,3,3,3,5,5,5,3,3,3,3,5,3,3,5,3,3,4,0.625,0.666666666666668,0.666666666666668
