Survey_number,Sex,School_code_2,Science_teacher_7,Library_me_7,OMSI_me_7,Zoo_me_7,Child_musuem_me_7,Scouts_me_7,Program_me_7,National_parks_me_7,Team_sport_me_7,Own_sport_me_7,Summer_camp_me_7,Hike_outdoors_me_7,Garden_me_7,Experiments_me_7,Read_me_7,Internet_me_7,Computer_me_7,Communicate_me_7,TV_me_7,Build_me_7,Pets_me_7,Library_encourage,OMSI_encourage,Zoo_encourage,Childrens_encourage,Scouts_encourage,Other_after_encourage,National_park_encourage,Team_sport_encourage,Sport_encourage,Summer_camps_encourage,Hike_outdoors_encourage,Garden_encourage,Experiment_encourage,Read_encourage,Internet_encourage,Computer_games_encourage,Communicate_encourage,TV_encourage,Build_encourage,Pets_encourage,Stars_planets_7,Mix_materials_7,Weather_7,Human_body_7,Traits_7,Sudoku_7,Fish_hunt_7,Earthquakes_7,Measure_7,Diseases_7,Minecraft_7,Planets_space_7,Buildings_bridges_7,Eat_exercise_7,Engines_7,Rocks_minerals_7,Computers_cell_phones_7,Food_flowers_7,Maps_7,Invent_7,Community_green_7,Shapes_7,Puzzles_7,Earth_space_7,Human_bio_7,Tech_eng_7,Math_7
55,0,Parkrose MS,2,2,1,1,1,5,3,3,5,5,2,5,1,3,1,2,5,5,1,5,4,1111,1111,1111,1111,1112,1112,2111,1112,2111,2111,1112,1111,1112,1111,1112,1112,1112,1111,1112,1111,3,5,3,3,3,3,5,3,3,3,5,3,3,3,3,3,3,3,3,4,3,3,3,0.5,0.5,0.55,0.5
58,0,Parkrose MS,3,2,2,2,1,1,4,2,2,4,1,3,2,1,4,4,5,5,3,4,2,2111,1121,1121,1111,1111,2111,1121,1121,1111,2111,1112,1112,1111,2111,2111,1121,1121,1112,1112,1112,3,4,NA,1,3,4,5,4,3,2,5,4,4,4,2,5,5,5,5,5,3,4,5,0.666666667,0.416666667,0.8,0.75
71,1,Parkrose MS,1,3,1,2,2,1,4,2,1,1,1,4,4,2,3,4,3,5,2,3,1,2111,1112,1112,1111,1111,2111,2111,1111,2111,1111,1112,1112,1112,2111,1112,1112,1112,1112,2111,1111,5,5,5,5,5,5,1,4,5,3,1,4,5,4,4,3,5,5,5,5,4,3,5,0.875,0.916666667,0.95,0.875
72,1,Parkrose MS,2,3,2,1,1,4,5,2,5,4,1,5,2,4,5,3,4,5,4,1,5,1112,1211,1211,1111,1112,2111,2111,2111,2111,1111,1112,1111,1211,1112,2111,1112,1211,2111,1111,2111,5,5,4,5,5,3,3,4,2,5,1,5,4,3,2,5,2,3,2,4,2,4,3,0.875,0.833333333,0.45,0.5
78,1,Parkrose MS,2,1,1,1,1,1,1,2,1,5,1,2,1,1,3,5,5,5,2,1,4,1111,1112,2111,2111,1111,2111,2111,2121,1121,1111,1121,1111,1111,2111,1111,1112,1121,1111,1111,2111,3,5,3,2,2,1,5,1,1,3,1,2,2,5,3,1,3,3,3,4,3,3,4,0.3125,0.5,0.5,0.3125
83,1,Parkrose MS,3,2,2,2,2,4,4,2,1,1,1,5,1,4,4,5,5,5,1,1,1,1211,1211,2211,1211,1212,2211,1211,1211,1112,1111,1112,1111,1112,1212,1112,1112,1112,1111,1111,1111,1,4,1,1,1,1,5,2,1,1,5,2,1,4,1,4,1,1,1,5,1,1,2,0.125,0.25,0.2,0.0625
85,0,Parkrose MS,2,2,1,2,1,1,1,3,4,2,3,4,1,2,1,3,5,5,2,4,1,1112,1111,1111,1111,1111,1111,2111,2111,1111,1112,2111,2111,1112,2111,1112,1121,1111,1111,1112,1111,4,4,3,3,3,5,4,4,4,3,5,4,4,3,5,2,5,3,5,5,3,4,5,0.6875,0.5,0.95,0.875
88,1,Parkrose MS,2,2,2,2,2,1,1,1,2,5,1,2,4,1,5,1,5,5,4,1,4,2111,2211,2211,1111,1111,1211,1111,2211,1112,1111,2111,2111,1111,2111,2111,1211,1121,1112,1112,1211,5,2,4,4,3,4,2,2,2,5,5,5,2,3,4,2,4,3,2,4,3,2,2,0.75,0.583333333,0.55,0.375
91,0,Parkrose MS,9,2,2,2,1,1,1,2,2,5,1,3,1,1,2,4,5,3,3,2,3,2111,1112,1112,1111,1111,1121,2111,1211,1211,1111,2111,1111,2111,2111,1112,1112,1112,2111,2111,2111,5,5,4,3,4,2,3,4,2,4,2,5,4,3,3,5,4,3,4,3,4,4,3,0.875,0.583333333,0.65,0.4375
96,1,Parkrose MS,2,4,2,2,2,1,2,3,2,5,1,5,5,5,5,4,4,5,4,5,5,1112,1121,1211,1211,1111,1121,1121,1121,1211,1111,1112,1112,1211,2111,2111,1211,1121,2111,1211,1121,4,5,5,4,4,4,4,5,2,5,5,5,4,5,3,3,5,2,2,5,5,5,5,0.9375,0.833333333,0.7,0.75
97,1,Parkrose MS,2,2,2,1,1,1,2,1,2,1,1,2,2,1,3,2,5,5,1,1,2,1211,1112,1112,2111,1111,1121,2111,1221,1112,1121,1111,2111,1111,1211,1111,1122,1112,1111,1111,1121,3,4,3,3,3,3,4,4,3,4,4,3,4,4,2,5,5,3,3,4,3,3,4,0.5625,0.583333333,0.65,0.5625
100,0,Parkrose MS,3,2,2,1,1,1,1,2,1,1,1,2,2,1,1,5,5,5,2,2,1,2211,1111,1111,1111,1111,1111,1111,1111,1111,1111,2211,2111,1111,1111,1112,1221,1112,1112,1112,1111,4,3,3,4,NA,3,2,4,2,4,3,5,3,4,3,4,4,3,3,3,4,2,2,0.75,0.75,0.55,0.3125
103,1,Parkrose MS,1,4,2,2,1,5,4,2,3,5,2,5,1,1,5,5,5,5,5,2,5,2111,1121,1211,1111,1121,1121,1121,2111,2111,1121,2111,2111,1111,2111,1112,1121,1121,1121,1111,2111,5,5,1,4,5,1,3,3,1,5,1,5,3,1,1,1,5,3,2,4,5,1,1,0.625,0.583333333,0.5,0
107,1,Parkrose MS,9,1,2,2,1,4,5,2,5,2,5,5,2,5,5,5,5,5,1,4,5,1111,1121,1111,1121,2111,1121,2111,2111,1111,1111,2111,2111,1121,1121,2111,1121,2111,1111,1121,2111,3,5,3,2,2,1,5,4,3,3,5,5,2,3,2,NA,2,3,3,5,4,3,2,0.6875,0.333333333,0.45,0.3125
114,1,Parkrose MS,1,1,2,2,2,1,2,2,5,2,2,5,2,1,3,3,3,5,3,3,5,1111,2111,2111,2111,1111,2221,2111,2221,2111,2121,2111,1111,1111,1112,1111,1112,1121,1111,1111,1112,2,4,2,2,3,4,5,4,3,4,2,3,3,5,3,4,2,4,5,4,4,3,4,0.4375,0.583333333,0.6,0.625
117,1,Parkrose MS,2,2,2,2,1,4,2,2,2,2,3,2,2,1,5,4,4,4,4,2,3,1111,2211,2211,1111,1122,1112,2111,2111,1111,1112,1112,1111,1111,1112,1112,1112,1112,1112,2111,1112,5,3,3,1,5,5,1,5,5,5,5,5,4,4,3,4,5,2,4,5,5,3,3,0.875,0.583333333,0.8,0.75
120,0,Parkrose MS,2,4,1,1,1,1,1,1,5,3,1,2,1,2,4,3,4,4,1,4,4,1112,1111,1111,1111,1111,1121,2111,1121,1121,1111,2111,1111,2111,1112,1112,1112,1121,1111,1112,1112,5,5,5,2,2,3,5,5,3,4,4,5,5,5,5,3,5,4,5,5,4,4,4,1,0.5,1,0.625
122,0,Parkrose MS,2,2,2,2,1,1,3,3,3,1,1,5,2,2,2,2,3,3,2,4,5,2111,2111,2111,1111,1111,1112,1111,1121,1111,1111,1121,1111,1211,1111,1111,1111,1112,1112,2111,1111,2,2,2,2,NA,5,5,5,1,1,5,4,1,1,1,4,5,1,4,5,4,1,1,0.5625,0.125,0.55,0.25
124,0,Parkrose MS,1,2,2,2,1,1,1,2,5,5,1,2,1,3,5,5,5,4,4,1,4,2111,1121,2111,1121,1111,1111,1112,1112,1112,1111,1111,1111,1112,1112,1112,1112,1121,1111,1111,1111,4,5,4,5,5,5,4,4,5,3,5,4,2,2,3,1,5,2,4,5,4,5,5,0.75,0.75,0.7,1
128,1,Parkrose MS,3,2,2,2,2,1,4,1,1,3,2,2,1,5,4,3,5,5,4,3,5,2211,2211,2211,2211,1121,2111,1111,2111,2211,2111,2111,2111,2111,1112,1112,1112,1121,1112,2111,1112,5,5,4,4,5,4,2,5,4,4,3,5,4,5,4,5,5,5,5,4,5,3,5,0.9375,0.916666667,0.85,0.75
134,0,Parkrose MS,3,3,1,1,1,1,1,1,2,1,1,1,1,1,1,5,5,5,5,2,1,1112,1111,1111,1111,1111,1121,1111,1112,1112,1111,2111,1111,1111,1111,1112,1112,1112,1112,1111,1111,4,4,3,2,2,2,3,2,2,3,4,4,2,4,2,2,2,2,2,5,4,2,2,0.5625,0.416666667,0.4,0.25
135,1,Parkrose MS,3,3,1,1,1,1,4,1,2,4,1,1,1,5,1,5,5,5,5,5,2,1121,1111,1111,1111,1111,1112,1111,1112,1112,1111,1111,1111,1112,1111,1112,1121,1112,1121,1112,1111,5,5,1,5,3,5,5,5,1,5,5,5,1,3,1,5,5,5,5,5,2,2,5,0.75,0.666666667,0.6,0.5625
142,0,Parkrose MS,3,1,1,2,1,1,1,3,1,5,1,3,3,1,4,4,3,5,1,3,5,1111,1112,2111,1111,1111,1111,1111,1111,1112,1111,2111,2111,1111,2111,1112,1211,1112,1111,1111,1112,3,4,3,3,2,2,5,2,2,2,2,2,2,4,2,2,3,4,2,2,3,2,2,0.375,0.5,0.3,0.25
145,0,Parkrose MS,2,2,2,2,2,1,2,2,5,2,2,3,2,3,4,2,4,4,3,2,5,1112,1121,1121,1121,1111,2111,1121,2111,1112,2111,1121,1112,1121,1112,1112,1121,1111,1112,1112,2111,4,5,3,4,3,2,5,4,3,5,5,4,3,4,5,4,4,3,3,4,4,3,2,0.6875,0.666666667,0.7,0.375
146,0,Parkrose MS,3,3,2,1,1,1,2,1,1,5,1,3,3,1,4,4,5,4,2,1,1,2111,1112,1112,1112,1111,2111,2111,2111,1112,1111,2111,2111,1111,1112,1112,1222,1112,2111,1111,2111,4,3,3,3,3,3,5,3,3,3,4,4,3,3,3,5,4,3,3,4,3,3,3,0.625,0.5,0.6,0.5
149,0,Parkrose MS,1,3,2,2,1,1,1,2,1,3,1,4,3,1,2,1,5,4,3,3,2,1112,1112,1112,1111,1111,1111,1111,2111,2111,1111,1211,1112,1111,1112,1111,1112,1112,1112,1112,1112,3,5,2,2,2,3,4,2,3,3,5,4,4,4,3,3,4,2,4,5,4,3,2,0.4375,0.416666667,0.75,0.4375
150,0,Parkrose MS,1,3,2,3,3,1,4,2,4,4,2,5,5,5,5,4,5,5,5,1,5,2111,2211,2111,2111,1111,2111,2111,2111,2111,1111,2111,2111,2111,1112,2111,1112,1211,2221,1111,2211,5,5,5,5,5,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,1,0.95,0.875
154,0,Parkrose MS,1,3,2,2,1,4,4,3,4,3,2,5,3,1,5,4,5,3,4,3,4,2111,1112,1111,2111,1112,1111,2111,1112,1112,1111,1112,2111,1111,1112,1112,1112,1112,1112,1111,2111,2,4,2,2,2,2,3,3,1,3,1,3,2,3,1,3,1,3,3,5,5,5,3,0.375,0.333333333,0.35,0.4375
155,1,Parkrose MS,3,3,2,2,2,1,5,2,5,4,2,5,2,2,4,4,3,5,4,4,3,2111,2111,2111,2111,1111,1112,1112,1112,1112,2111,1112,2111,1111,1112,1112,1111,1112,1112,1112,1112,5,5,5,5,3,1,2,3,3,5,1,5,1,5,5,4,5,3,2,5,5,2,2,0.875,0.833333333,0.65,0.25
157,1,Parkrose MS,3,1,1,2,1,4,1,2,1,4,1,5,3,1,3,1,5,5,1,2,5,1111,1121,2111,1111,1121,1111,2111,1121,1112,1111,1112,1111,1111,1112,1111,1112,1121,1111,2111,1112,3,3,2,3,3,4,5,3,3,5,4,4,3,4,3,3,3,3,3,5,3,1,1,0.5,0.583333333,0.6,0.3125
160,1,Parkrose MS,3,5,1,1,1,4,5,1,5,3,1,3,1,1,5,1,1,5,3,1,3,1112,1111,1111,1111,2111,1111,1121,2111,1111,1111,1111,1111,1111,1112,1111,1111,1121,1112,1111,1112,4,4,3,3,4,5,3,5,3,3,1,3,3,5,3,3,NA,3,3,3,3,3,3,0.6875,0.75,0.5,0.625
161,1,Parkrose MS,1,2,2,2,1,4,5,2,5,1,2,4,1,2,5,4,3,5,3,1,4,1111,1111,1111,1111,1121,1121,1111,1121,1111,1121,1112,1111,1111,1112,1112,1112,1112,2111,1111,2111,5,5,1,5,4,1,1,1,1,5,1,5,1,3,1,3,2,5,1,1,5,1,3,0.5,0.75,0.05,0.125
171,0,Parkrose MS,2,3,1,1,1,1,5,2,4,1,1,1,1,1,5,2,5,4,4,5,3,2111,1111,1111,1111,1111,2221,2211,1112,1111,1111,1111,1111,1111,1112,1112,1112,1111,1112,1112,1112,5,4,3,3,3,5,3,4,4,3,5,5,5,4,3,3,5,3,4,5,4,5,5,0.8125,0.583333333,0.85,0.9375
173,1,Parkrose MS,2,2,1,1,1,1,5,2,5,5,1,2,1,1,1,1,4,5,1,1,1,1112,1111,1111,1111,1111,1121,1112,2111,1112,1111,1121,1111,1111,1111,1111,1112,1112,1111,1111,1111,2,5,3,2,4,5,4,3,3,3,2,1,1,3,2,3,3,2,4,3,3,5,5,0.3125,0.5,0.4,0.875
176,0,Parkrose MS,2,2,1,1,1,1,2,4,5,5,2,3,2,2,1,3,4,4,3,2,3,2111,1111,1121,1211,1111,2111,2111,1121,2111,2111,1112,2111,1112,1111,1112,1112,1121,1112,1112,2111,5,2,2,2,3,1,5,3,3,4,5,5,1,3,2,4,4,3,3,4,2,1,3,0.6875,0.416666667,0.45,0.25
178,0,Parkrose MS,1,3,1,1,1,1,1,1,5,5,1,3,2,1,4,3,4,4,3,4,5,2111,2111,1111,1121,1111,1111,1111,2212,2111,1111,1211,1111,1111,1121,2211,1112,1121,1211,1211,2111,5,5,5,5,3,5,3,5,4,3,3,5,4,4,3,1,5,5,5,5,5,4,3,1,0.75,0.85,0.75
201,1,Parkrose MS,2,1,1,1,1,1,1,2,1,2,1,2,3,1,1,1,5,5,1,2,5,1111,2111,2111,1111,1111,2111,2111,1111,1111,2111,1112,1112,1111,1111,1112,1112,1111,1111,1112,1112,4,5,3,3,3,2,5,2,2,1,5,5,5,5,3,3,3,5,3,4,5,5,4,0.625,0.666666667,0.65,0.5625
204,0,Parkrose MS,1,4,1,1,1,1,1,2,1,1,1,3,1,2,5,4,5,5,1,5,5,1112,1111,2111,1111,1111,1111,2111,1111,1112,1111,2111,1111,1112,1112,1112,1112,1111,1112,1112,2111,4,5,4,4,4,3,1,4,3,4,5,5,4,1,5,5,5,3,4,5,3,5,4,0.8125,0.5,0.9,0.6875
206,1,Parkrose MS,3,3,1,1,1,1,3,1,1,4,1,1,4,3,5,5,2,5,3,4,1,1112,1112,1112,1111,1111,1112,1112,1111,1111,1111,1111,2111,1111,1112,1112,1112,1112,1112,1112,1111,4,5,3,5,4,5,3,5,1,5,4,5,4,3,3,3,5,3,2,5,4,4,5,0.8125,0.75,0.7,0.6875
208,0,Parkrose MS,2,3,1,1,1,1,1,1,1,4,1,1,5,3,4,5,5,2,4,4,1,2111,1111,1111,1111,1111,2111,1111,1111,2111,1111,2111,2111,1112,1112,2111,1112,1111,1112,2111,1111,5,5,5,5,4,4,5,5,3,5,2,5,4,5,5,5,5,5,4,3,3,3,4,1,0.916666667,0.8,0.625
211,0,Parkrose MS,1,2,2,2,2,3,2,2,3,4,3,5,4,3,5,3,4,5,4,5,3,1111,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1111,5,5,5,5,3,3,4,5,3,3,3,4,4,4,4,4,5,4,4,5,4,5,5,0.9375,0.75,0.85,0.75
212,0,Parkrose MS,1,2,1,1,1,1,4,1,1,1,1,4,1,1,3,1,4,5,4,1,5,1111,1111,1111,1111,1111,1111,1111,2111,1112,1111,1111,1111,1111,1112,1111,1112,1111,1111,1111,1112,5,5,3,5,5,4,5,3,2,4,3,5,4,5,4,5,5,5,3,5,4,5,5,0.75,1,0.8,0.75
216,1,Parkrose MS,3,2,2,2,1,1,4,2,5,5,2,3,3,1,4,3,5,5,3,2,4,1111,1121,1211,1211,1111,2221,2111,1121,1121,2111,2111,2111,1111,1112,1111,1112,1121,1111,1112,1112,3,4,3,4,4,2,5,3,2,5,2,4,4,4,3,2,5,3,3,4,4,3,2,0.5625,0.75,0.7,0.3125
217,1,Parkrose MS,2,2,2,2,1,2,1,2,1,1,1,2,1,1,5,5,4,5,4,3,5,1211,1112,1211,1111,1121,1111,1211,1111,1111,1111,1112,1111,1111,1112,1112,1211,1121,1112,1112,1112,3,3,3,4,4,3,5,3,3,4,3,4,4,3,4,5,4,3,3,3,4,3,3,0.5625,0.666666667,0.65,0.5
220,1,Parkrose MS,1,1,1,1,1,1,4,2,2,5,5,5,3,3,5,5,5,5,4,5,5,2111,1111,1111,1111,1111,1121,2111,2111,2111,2111,2111,1111,1111,2111,2111,1112,1112,2111,2111,2111,4,5,5,5,5,1,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,0.9375,1,1,0.75
221,0,Parkrose MS,3,2,1,1,1,1,2,2,4,4,1,4,4,1,4,3,4,4,1,1,1,1111,2111,2111,1121,1111,2111,1111,2111,1112,1111,2111,2111,1111,2111,1121,1121,2111,1111,1111,1111,4,4,5,3,4,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,0.9375,0.75,1,0.8125
222,1,Parkrose MS,2,1,1,1,1,1,5,2,2,5,1,4,5,2,5,2,4,5,3,2,4,2211,1211,1112,1112,1111,2221,2111,2221,2221,1111,2111,2211,1211,1112,2111,2221,1121,2211,1111,2111,3,5,2,3,5,1,4,1,2,4,3,5,2,5,1,3,3,4,5,3,4,5,4,0.4375,0.833333333,0.45,0.5
225,1,Parkrose MS,3,1,2,2,1,1,1,2,1,4,1,5,5,4,4,5,5,5,4,4,5,1111,1112,1112,1111,1111,1111,1112,1111,1112,1111,1112,1112,1112,2111,1112,1112,1112,1112,1112,1112,4,5,3,1,1,1,3,4,1,1,5,5,1,5,1,4,NA,5,4,5,5,5,3,0.75,0.333333333,0.4375,0.375
228,1,Parkrose MS,2,2,1,1,1,1,3,2,3,5,2,5,5,4,5,5,5,5,4,5,5,1112,2111,2111,1111,1111,1211,2111,1121,2112,2111,1112,2111,1112,1112,1112,1121,1111,1112,1112,2111,5,5,4,3,4,5,5,5,4,2,5,5,5,4,4,5,5,3,2,5,3,5,5,0.9375,0.666666667,0.8,0.9375
232,1,Parkrose MS,9,1,3,2,1,1,1,2,4,1,1,4,5,1,5,5,5,5,3,1,3,2111,2111,1112,1111,1111,1111,1111,1121,2111,1121,2111,2111,1111,1112,1112,1211,1121,2111,1111,2111,5,5,3,4,5,1,4,2,3,4,5,4,3,3,3,3,5,4,5,5,3,2,5,0.625,0.75,0.8,0.4375
234,1,Parkrose MS,2,3,2,2,1,1,5,2,4,5,1,2,2,4,5,3,5,5,1,5,5,1112,1211,1211,1211,1111,1121,2111,2212,2111,2111,2111,2111,1111,1112,2111,1112,1211,2111,1112,2112,2,5,2,2,5,5,5,3,1,5,5,5,1,2,2,5,5,5,5,4,3,5,5,0.5,0.5,0.6,0.75
240,0,Parkrose MS,2,2,1,1,1,1,2,1,2,2,1,2,1,1,1,1,5,2,2,1,1,1111,1111,2111,1111,1111,1111,1111,1111,1111,1111,2111,1111,1111,1112,1111,1112,1111,1112,1111,1111,4,3,4,3,1,1,3,4,1,2,5,3,4,3,1,3,3,1,4,4,3,4,4,0.6875,0.333333333,0.55,0.375
242,1,Parkrose MS,1,1,1,2,1,1,2,2,1,2,1,3,2,2,3,4,4,4,2,2,3,2121,1112,2111,1112,1111,1111,2111,1112,2111,1111,2112,2112,1112,1112,1112,1122,1121,2111,1112,1112,3,4,4,4,4,1,3,4,1,4,5,4,3,2,2,4,5,4,3,5,3,4,3,0.6875,0.583333333,0.65,0.3125
245,0,Parkrose MS,1,2,2,2,2,4,5,3,5,4,1,5,3,4,5,4,3,4,5,5,2,2111,1121,1211,1111,2111,1121,2111,1112,1121,1111,1121,1111,1112,2111,1112,1121,1112,1112,1112,1111,4,5,3,4,3,3,5,3,4,4,4,5,5,5,4,5,4,4,4,5,4,4,3,0.6875,0.75,0.85,0.625
246,1,Parkrose MS,2,2,2,2,1,2,2,1,1,5,1,2,4,1,3,1,1,1,1,1,5,1111,2221,1111,1111,1111,1121,1111,1111,1211,1111,2111,1111,2111,1111,1111,1111,1121,1111,1111,2111,2,5,3,4,4,3,4,4,3,5,1,NA,5,5,3,4,4,3,1,1,2,1,1,0.5,0.833333333,0.45,0.25
250,1,Parkrose MS,1,1,1,1,1,1,2,1,1,2,1,1,3,1,2,5,5,5,5,1,3,1112,1111,1111,1111,1111,1111,1111,1112,1121,1112,1111,2111,1111,1112,1112,1112,1121,2111,1111,1121,4,5,4,2,5,1,1,5,1,5,5,5,2,3,2,1,5,5,5,5,5,2,2,0.875,0.583333333,0.7,0.125
228000,1,Parkrose MS,2,2,1,1,1,1,3,2,3,5,2,5,5,4,5,5,5,5,4,5,5,1112,2111,2111,1111,1111,1211,2111,1121,2112,2111,1112,2111,1112,1112,1112,1121,1111,1112,1112,2111,5,5,4,3,4,5,5,5,4,2,5,5,5,4,4,5,5,3,2,5,3,5,5,0.9375,0.666666667,0.8,0.9375
30000,0,Parkrose MS,3,4,3,3,1,1,4,3,4,5,3,4,4,4,5,4,5,5,5,4,5,2111,1112,1112,1211,1111,2211,2111,1211,1112,1121,2111,2111,1112,1121,2111,1112,1112,1112,1112,1112,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,1,0.95,0.9375
